country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
United Kingdom,2017,Gold,Import,384,0.001,2.683
United Kingdom,2017,Gold,Import,71159305,0.933,2.683
USA,2017,Gold,Import,18687392,19417.618,
USA,2017,Gold,Import,345137,0.007,
USA,2017,Gold,Import,17259,0.001,
Burkina Faso,2017,Gold,Import,3155,1.643,0.351
Uruguay,2017,Gold,Import,773118,826.67,6.218
Uruguay,2017,Gold,Import,402,0.002,6.218
USA,2017,Gold,Import,1875,0.2,
Belgium,2017,Gold,Import,2088230,0.154,2.224
Canada,2017,Gold,Import,51444186,1.522,1.603
France,2017,Gold,Import,134827,0.003,1.163
"China, Hong Kong SAR",2017,Gold,Import,1860272,0.044,1.481
India,2017,Gold,Import,574935748,15.462,3.602
Switzerland,2017,Gold,Import,406082,0.011,0.534
United Arab Emirates,2017,Gold,Import,365893331,9.696,1.967
TÃ¼rkiye,2017,Gold,Import,33646,0.001,
USA,2017,Gold,Import,69508877,1.84,
USA,2017,Gold,Import,228642,0.016,
Austria,2017,Gold,Import,29923,5.585,2.23
Croatia,2017,Gold,Import,12179,7.363,1.129
Croatia,2017,Gold,Import,684,,1.129
France,2017,Gold,Import,172979,30.556,1.163
Germany,2017,Gold,Import,290545,192.514,1.711
"China, Hong Kong SAR",2017,Gold,Import,22833,0.001,1.481
Italy,2017,Gold,Import,938295,144.8,1.326
Italy,2017,Gold,Import,285647,0.014,1.326
Montenegro,2017,Gold,Import,5966,4.324,2.373
Poland,2017,Gold,Import,646,0.172,1.975
Serbia,2017,Gold,Import,361600,59.56,3.131
Slovenia,2017,Gold,Import,225487,39.58,1.432
Switzerland,2017,Gold,Import,81183,13.698,0.534
TÃ¼rkiye,2017,Gold,Import,39043,0.002,
TÃ¼rkiye,2017,Gold,Import,33979,0.001,
North Macedonia,2017,Gold,Import,766209,177.278,
Namibia,2017,Gold,Import,633,0.204,6.147
Switzerland,2017,Gold,Import,38208516,1.069,0.534
Argentina,2017,Gold,Import,27099,22.212,25.675
